Name,County,Population(2012 est.),Population(2010),Land area
Tumwater,Thurston,"18,102","17,371",14.32 sq mi (37.1 km2)
Union Gap,Yakima,"6,060","6,047",5.05 sq mi (13.1 km2)
University Place,Pierce,"31,562","31,144",8.42 sq mi (21.8 km2)
Vader,Lewis,626,621,0.93 sq mi (2.4 km2)
Vancouver,Clark,"165,489","161,791",46.46 sq mi (120.3 km2)
Waitsburg,Walla Walla,"1,235","1,217",1.11 sq mi (2.9 km2)
Walla Walla,Walla Walla,"31,864","31,731",12.80 sq mi (33.2 km2)
Wapato,Yakima,"5,065","4,997",1.17 sq mi (3.0 km2)
Warden,Grant,"2,758","2,692",2.58 sq mi (6.7 km2)
Washougal,Clark,"14,584","14,095",5.42 sq mi (14.0 km2)
Wenatchee,Chelan,"32,562","31,925",7.77 sq mi (20.1 km2)
West Richland,Benton,"12,663","11,811",21.92 sq mi (56.8 km2)
Westport,Grays Harbor,"2,092","2,099",3.70 sq mi (9.6 km2)
White Salmon,Klickitat,"2,266","2,224",1.22 sq mi (3.2 km2)
Winlock,Lewis,"1,346","1,339",1.29 sq mi (3.3 km2)
Woodinville,King,"11,234","10,938",5.60 sq mi (14.5 km2)
Woodland,CowlitzClark,"5,540","5,509",3.37 sq mi (8.7 km2)
Woodway,Snohomish,"1,324","1,307",1.11 sq mi (2.9 km2)
Yakima,Yakima,"93,101","91,067",27.18 sq mi (70.4 km2)
Yelm,Thurston,"7,121","6,848",5.68 sq mi (14.7 km2)
Zillah,Yakima,"3,011","2,964",1.78 sq mi (4.6 km2)
