Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
Education,New Zealand Qualifications Authority,Education,Crown agent,Education Act 1989 (Part 20)
Education,New Zealand Teachers Council,Education,ACE,Education Act 1989 (Part 10A)
Education,"School boards of trustees (2,474)",Education,School BoTs,"Education Act 1989 (Parts 7, 7A, 8, 9 and 12 and Schedules 5A and 6)"
Energy,Electricity Authority,Economic Development,Crown agent,Electricity Act 1992 (Part 15)
Energy,Energy Efficiency and Conservation Authority,Environment,Crown agent,Energy Efficiency and Conservation Act 2000 (and Schedule)
Environment,Environmental Risk Management Authority,Environment,ACE,Hazardous Substances and New Organisms Act 1996 (Part 4 and Schedule 1)
Finance,Earthquake Commission,Treasury,Crown agent,Earthquake Commission Act 1993 (Part 1 and Schedule 1)
Finance,Government Superannuation Fund Authority,Treasury,ACE,Government Superannuation Fund Act 1956 (Part 1 and Schedule 4)
Finance,Guardians of New Zealand Superannuation,Treasury,ACE,New Zealand Superannuation and Retirement Income Act 2001 (Part 2 and Schedule 3)
Finance,The New Zealand Productivity Commission,Treasury,ICE,"New Zealand Productivity Commission Act, 2010"
