Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
Housing and Finance (2),Housing New Zealand Corporation,Building and Housing / Treasury,Crown agent,Housing Corporation Act 1974 (Part 1 and Schedule 1A)
"Industry and Regional Development, and Trade (2)",New Zealand Trade and Enterprise,"Economic Development, and Foreign Affairs and Trade",Crown agent,New Zealand Trade and Enterprise Act 2003 (Part 2)
Internal Affairs,New Zealand Fire Service Commission,Internal Affairs,Crown agent,Fire Service Act 1975 (Part 1)
Internal Affairs,New Zealand Lotteries Commission,CCMAU,ACE,"Gambling Act 2003 (Part 3, Subpart 2, and Schedule 4)"
Internal Affairs,Office of Film and Literature Classification,Internal Affairs,ICE,"Films, Videos, and Publications Classification Act 1993 (Part 6 and Schedule 1)"
Justice,Electoral Commission,Justice,ICE,Electoral Act 1993 (Part 1 and Schedule 1)
Justice,Human Rights Commission,Justice,ICE,Human Rights Act 1993 (Part 1 and Schedule 1)
Justice,Legal Services Agency,Justice,Crown agent,Legal Services Act 2000 (Part 6 and Schedule 2)
Justice,Police Complaints Authority,Justice,ICE,Police Complaints Authority Act 1988
Justice,Privacy Commissioner,Justice,ICE,Privacy Act 1993 (Part 3 and Schedule 1)
