County,Obama,Votes,Romney,Votes,Others,Votes,Total
Modoc,27.7%,"1,113",69.1%,"2,779",3.2%,130,"4,022"
Mono,52.9%,"2,733",44.2%,"2,285",2.9%,150,"5,168"
Monterey,67.3%,"82,918",30.3%,"37,389",2.4%,"2,959","123,266"
Napa,63.1%,"35,870",34.3%,"19,526",2.6%,"1,457","56,853"
Nevada,47.7%,"24,663",48.4%,"24,986",3.9%,"2,026","51,675"
Orange,45.6%,"512,440",51.9%,"582,332",2.5%,"27,892","1,122,664"
Placer,38.9%,"66,818",58.2%,"99,921",2.9%,"4,972","171,711"
Plumas,39.9%,"4,026",56.8%,"5,721",3.3%,333,"10,080"
Riverside,49.8%,"329,063",48.2%,"318,127",2.0%,"13,425","660,615"
Sacramento,58.1%,"300,503",39.1%,"202,514",2.8%,"14,565","517,582"
San Benito,59.1%,"11,276",38.5%,"7,343",2.4%,462,"19,081"
San Bernardino,52.6%,"305,109",45.2%,"262,358",2.2%,"13,136","580,603"
