Name,Nationality,Position,Spartak career,Appearances,Goals
Dzhemal Silagadze,Soviet Union,FW,"1968–71, 1973",91,12
Nikita Simonyan,Soviet Union,FW,1949–59,215,135
Boris Smyslov,Soviet Union,FW,1945–48,45,6
Florin Şoavă,Romania,DF,"2004–05, 2007–08",52,1
Vladimir Sochnov,Soviet Union,DF,"1981–85, 1989",148,9
Aleksei Sokolov,Soviet Union,FW,"1938–41, 1942, 1944–47",114,49
Vasili Sokolov,Soviet Union,DF,"1938–41, 1942–51",262,2
Viktor Sokolov,Soviet Union,DF,"1936–41, 1942–46",121,0
Anatoli Soldatov,Soviet Union,DF,1958–65,113,1
Aleksandr Sorokin,Soviet Union,MF,1977–80,107,9
Andrei Starostin,Soviet Union,MF,1936–40,95,4
Vladimir Stepanov,Soviet Union,FW,"1936–41, 1942",101,33
Andrejs Štolcers,Latvia,MF,2000,11,5
Martin Stranzl,Austria,DF,2006–present,80,3
Yuri Susloparov,Soviet Union,DF,1986–90,80,1
Yuri Syomin,Soviet Union,MF,1965–67,43,6
Dmitri Sychev,Russia,FW,2002,18,9
Boris Tatushin,Soviet Union,FW,"1953–58, 1961",116,38
Viktor Terentyev,Soviet Union,FW,1948–53,103,34
