Map or catalog,Creator,Time created,Contets,links
"Korean Astronomy Book \Selected and Systematized Astronomy Notes\"" 天文類抄""",,1623~1649,Contained some star maps,
Ming Dynasty General Star Map (赤道南北兩總星圖),Xu Guang ci 徐光啟 and Adam Schall von Bell Tang Ruo Wang湯若望,1634,-,
Ming Dynasty diagrams of Armillary spheres and Celestial Globes,Xu Guang ci 徐光啟,c. 1699,-,
Ming Dynasty Planetarium Machine (渾象 Hui Xiang),,c. 17th century,"Ecliptic, Equator, and dividers of 28 constellation",
Copper Plate Star Map stored in Korea,,1652 順治九年shun zi jiu nian,-,
Japanese Edo period Star Chart 天象列次之図 based on 天象列次分野之図 from Korean,Harumi Shibukawa 渋川春海Bu Chuan Chun Mei(保井春海Bao Jing Chun Mei),1670 寛文十年,-,
The Celestial Globe 清康熙 天體儀,Ferdinand Verbiest 南懷仁,1673,1876 stars grouped into 282 asterisms,
Picture depicted Song Dynasty fictional astronomer (呉用 Wu Yong) with a Celestial Globe (天體儀),Japanese painter,1675,showing top portion of a Celestial Globe,File:Chinese astronomer 1675.jpg
Japanese Edo period Star Chart 天文分野之図,Harumi Shibukawa 渋川春海BuJingChun Mei (保井春海Bao JingChunMei),1677 延宝五年,-,
Korean star map in stone,,1687,-,
Japanese Edo period Star Chart 天文図解,井口常範,1689 元禄2年,-,-
Japanese Edo period Star Chart 古暦便覧備考,苗村丈伯Mao Chun Zhang Bo,1692 元禄5年,-,-
Japanese star chart,Harumi Yasui written in Chinese,1699 AD,A Japanese star chart of 1699 showing lunar stations,
