Year,Game,Developer,Setting,Platform,Notes
1999,RollerCoaster Tycoon: Corkscrew Follies,Chris Sawyer,Modern,WIN,Expansion to RollerCoaster Tycoon.
1999,Simutrans,"Hansjörg Malthaner, Various",Modern,CROSS,Open source Transport Tycoon Deluxe clone. A development version is available for download.
1999,Wet Attack: The Empire Cums Back,Interactive Strip,Modern,WIN,Sequel to Lula: The Sexy Empire.
1999,X: Beyond the Frontier,Egosoft,Sci-fi,WIN,First title in the series.
2000,Airport Tycoon,Krisalis,Modern,WIN,
2000,Business Tycoon,Stardock,Modern,WIN,Sequel to Entrepreneur.
2000,Fast Food Tycoon (a.k.a. Pizza Syndicate),Software 2000,Modern,WIN,Sequel to Pizza Tycoon.
2000,Harvest Moon 3,"Victor, Natsume",Fantasy,GBC,Sequel to Harvest Moon 2.
2000,Harvest Moon for Girls,"Victor, Natsume",Fantasy,PS1,
2000,Patrician II: Quest for Power,Ascaron,Historical,WIN,Sequel to The Patrician.
2000,RollerCoaster Tycoon: Loopy Landscapes,Chris Sawyer,Modern,WIN,Expansion to RollerCoaster Tycoon.
2000,Traffic Giant,JoWood,Modern,WIN,
2000,X-Tension,Egosoft,Sci-fi,WIN,Expansion to X: Beyond the Frontier.
2001,Casino Tycoon,Cat Daddy,Modern,WIN,
2001,Fast Food Tycoon 2 (a.k.a. Pizza Connection 2),Software 2000,Modern,WIN,Sequel to Fast Food Tycoon.
2001,Gadget Tycoon,Monte Cristo,Modern,WIN,
2001,Gangsters 2: Vendetta,Hothouse,Historical,WIN,Sequel to Gangsters: Organized Crime.
2001,Golf Resort Tycoon,Cat Daddy,Modern,WIN,
2001,Harvest Moon: Save the Homeland,Victor,Fantasy,PS2,
2001,Heist,Virgin,Modern,WIN,
2001,Merchant Prince II,Holistic,Historical,WIN,Sequel to Merchant Prince.
2001,Monopoly Tycoon,Deep Red,Modern,WIN,
2001,Moon Tycoon,Legacy,Sci-fi,WIN,
2001,Oil Tycoon,Soft,Modern,WIN,
2001,Skateboard Park Tycoon,Cat Daddy,Modern,WIN,
2001,Ski Resort Tycoon,Cat Daddy,Modern,WIN,
2001,StarTopia,Mucky Foot,Sci-fi,WIN,
2001,"Corporate Machine, The",Stardock,Modern,WIN,Sequel to Business Tycoon.
