Year,Site,Winning team,Losing team,Series
1947,Lawrence,Kansas 55,Kansas State 0,KU 28–14–3
1948,Manhattan,Kansas 20,Kansas State 14,KU 29–14–3
1949,Lawrence,Kansas 38,Kansas State 0,KU 30–14–3
1950,Manhattan,Kansas 47,Kansas State 7,KU 31–14–3
1951,Lawrence,Kansas 33,Kansas State 14,KU 32–14–3
1952,Manhattan,(#9) Kansas 26,Kansas State 6,KU 33–14–3
1953,Lawrence,Kansas State 7,Kansas 0,KU 33–15–3
1954,Manhattan,Kansas State 28,Kansas 6,KU 33–16–3
1955,Lawrence,Kansas State 46,Kansas 0,KU 33–17–3
1956,Manhattan,Kansas 20,Kansas State 15,KU 34–17–3
1957,Lawrence,Kansas 13,Kansas State 7,KU 35–17–3
