Typ,Construction Time,Cylinders,Capacity,Power,Top speed
Standard 6,1927–1928,6 inline,"2,540 cc",33 kW (45 PS),85 km/h (53 mph)–90 km/h (56 mph)
Standard 8,1928–1933,8 inline,"3,887 cc",51–59 kW (70–80 PS),100 km/h (62 mph)–105 km/h (65 mph)
Standard 6 A/S,1928–1934,6 inline,"2,916 cc",37 kW (50 PS),85 km/h (53 mph)–90 km/h (56 mph)
Favorit,1929–1933,4 inline,"1,943 cc","25,7 kW (35 PS)",80 km/h (50 mph)
"Primus 1,5 A",1932–1934,4 inline,"1,504 cc","23,5–24,2 kW (32–33 PS)",90 km/h (56 mph)
"Trumpf 1,5 AV",1932–1934,4 inline,"1,504 cc","23,5–24,2 kW (32–33 PS)",95 km/h (59 mph)
Favorit 2U,1933–1934,4 inline,"1,943 cc",29 kW (40 PS),90 km/h (56 mph)
Standard 6 3U,1933–1934,6 inline,"2,916 cc",44 kW (60 PS),100 km/h (62 mph)
Achtzylinder,1933–1934,8 inline,"3,887 cc",59 kW (80 PS),105 km/h (65 mph)
Trumpf Sport,1933–1935,4 inline,"1,645 cc","34,5 kW (47 PS)",115 km/h (71 mph)
