Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Runner-up,26.,20 June 1982,Eastbourne,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"3–6, 4–6"
Runner-up,27.,3 July 1982,Wimbledon,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"4–6, 1–6"
Runner-up,28.,24 October 1982,Filderstadt,Hard (i),Candy Reynolds,Martina Navratilova Pam Shriver,"2–6, 3–6"
Winner,23.,21 November 1982,Brisbane,Grass,Billie Jean King,Claudia Kohde-Kilsch Eva Pfaff,"6–3, 6–4"
Runner-up,29.,10 January 1983,"Washington, D.C.",Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"6–4, 5–7, 3–6"
Runner-up,30.,20 February 1983,Chicago,Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"1–6, 2–6"
Runner-up,31.,20 March 1983,Boston,Carpet,Kathy Jordan,Jo Durie Ann Kiyomura,"3–6, 1–6"
Runner-up,32.,3 April 1983,Tokyo,Carpet,Kathy Jordan,Billie Jean King Sharon Walsh,"1–6, 1–6"
Winner,24.,24 April 1983,Orlando,Clay,Billie Jean King,Martina Navratilova Pam Shriver,"6–3, 1–6, 7–6"
Runner-up,33.,4 June 1983,French Open,Clay,Kathy Jordan,Rosalyn Fairbank Candy Reynolds,"7–5, 5–7, 2–6"
Winner,25.,22 April 1984,Amelia Island,Clay,Kathy Jordan,Anne Hobbs Mima Jaušovec,"6–4, 3–6, 6–4"
