Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Runner-up,11.,9 November 1980,Filderstadt,Hard (i),Kathy Jordan,Hana Mandlíková Betty Stöve,"4–6, 5–7"
Runner-up,12.,16 November 1980,Tampa,Hard,Paula Smith,Rosemary Casals Candy Reynolds,"6–7, 5–7"
Winner,15.,25 January 1981,Cincinnati,Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"1–6, 6–3, 6–3"
Runner-up,13.,15 March 1981,Dallas,Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"5–7, 4–6"
Runner-up,14.,21 June 1981,Eastbourne,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"7–6, 2–6, 1–6"
Runner-up,15.,3 July 1981,Wimbledon,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"3–6, 6–7(6)"
Runner-up,16.,16 August 1981,Richmond,Carpet,Kathy Jordan,Sue Barker Ann Kiyomura,"6–4, 6–7, 4–6"
Runner-up,17.,23 August 1981,Toronto,Hard,Candy Reynolds,Martina Navratilova Pam Shriver,"6–7, 6–7"
Winner,16.,12 September 1981,US Open,Hard,Kathy Jordan,Rosemary Casals Wendy Turnbull,"6–3, 6–3"
Winner,17.,25 October 1981,Brighton,Carpet,Barbara Potter,Mima Jaušovec Pam Shriver,"6–7, 6–3, 6–4"
Runner-up,18.,1 November 1981,Filderstadt,Hard (i),Barbara Potter,Mima Jaušovec Martina Navratilova,"4–6, 1–6"
Runner-up,19.,29 November 1981,Sydney,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"7–6, 2–6, 4–6"
