#,Weekend End Date,Film,Weekend Gross (millions),Notes
1,"January 6, 2008",National Treasure: Book of Secrets,$1.65,
2,"January 13, 2008",The Bucket List,$1.48,
3,"January 20, 2008",Cloverfield,$2.26,
4,"January 27, 2008",Rambo,$1.71,Meet the Spartans was #1 in North America.
5,"February 3, 2008",27 Dresses,$0.94,27 Dresses reached #1 in its third weekend of release.Hannah Montana & Miley Cyrus: Best of Both Worlds Concert was #1 in North America.
6,"February 10, 2008",Fool's Gold,$1.55,
7,"February 17, 2008",Jumper,$2.06,
8,"February 24, 2008",Vantage Point,$1.55,
9,"March 2, 2008",Semi-Pro,$1.30,
10,"March 9, 2008","10,000 B.C",$2.49,
11,"March 16, 2008",Horton Hears a Who!,$2.89,
