Name,,Local names,Sort,"Canton(s), neighboring countries",Area in km²,Elevationm,max. depthin meter
Schiffenensee,↑,"Schiffenensee, Lac de Schiffenen",Schiffenen,Fribourg,4.25,532,38
Wägitalersee,↑,Wägitalersee,Waegital,Schwyz,4.18,900,65
Lago di Lei,↑,Lago di Lei,Lei,"Italy, Grisons",4.12,1931,133
Lake Sils,,"Silsersee, Lej da Segl",Sils,Grisons,4.1,1797,71
Lac des Dix,↑,Lac des Dix,Dix,Valais,3.65,2365,227
Lake Wohlen,↑,Wohlensee,Wohlen,Berne,3.65,480,20
Pfäffikersee,,Pfäffikersee,Pfäffikersee,Zurich,3.3,536,35
Klöntalersee,*,Klöntalersee,Klöntalersee,Glarus,3.29,847,47
Lac d'Emosson,↑,Lac d'Emosson,Emosson,Valais,3.27,1930,161
Lake Silvaplana,,"Silvaplanersee, Lej da Silvaplauna",Silvaplana,Grisons,3.1,1790,77
Lake Lauerz,,Lauerzersee,Lauerz,Schwyz,3.1,447,14
