NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86234,-,E3155,J B Priestley OMSuffolk - Relax Refresh Return,1980–20022002-,Anglia Railways,'one',04/2005,Stored at Long Marston
86235,-,E3194,NoveltyHarold MacmillanCrown Point,1979–19901990–19921992-,Anglia Railways,'one',09/2005,Stored at Long Marston
86236,-,E3133,Josiah WedgwoodMaster Potter 1736-1795,1978–2002,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Immingham RFT (12/2003)
86237,-,E3197,Sir Charles HalléUniversity of East Anglia,1983–19931993–2004,Anglia Railways,'one',04/2004,Scrapped at Cardiff (10/2004)
86238,-,E3116,European Community,1986–2004,Anglia Railways,'one',10/2004,"Scrapped at Boreham, Essex (05/2005)"
86239,86507,E3169,L. S. Lowry,1980–1996,Rail Express Systems,EWS,04/1996,Written-off in Stafford accidentScrapped at Crewe Electric TMD (04/1997)
86240,-,E3127,Bishop Eric Treacy,1979–2002,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Rotherham (04/2005)
86241,86508,E3121,Glenfiddich,1979–2003,Rail Express Systems,EWS,01/2000,Scrapped at Crewe Electric TMD (02/2003)
86242,-,E3138,James Kennedy GCColchester Castle,1981–20022002–2004,Anglia Railways,'one',10/2004,Exported Hungary. (07/2013) Export Number 0450 008-2. Operating Floyd ZRt.
86243,-,E3181,The Boys' Brigade,1983–1993,Rail Express Systems,EWS,11/2002,"Scrapped at CF Booth, Rotherham (09/2004)"
86244,-,E3178,The Royal British Legion,1981–2002,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Immingham RFT (11/2003)
