NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86634,86434,E3187,University of London,1986–1999,Freightliner Green,Freightliner,05/2002,"Scrapped at CF Booth, Rotherham (03/2005)"
86635,86435,E3124,-,-,Freightliner Green,Freightliner,02/2004,Scrapped at Crewe LNWR (03/2013)
86636,86436,E3160,-,-,Freightliner Green,Freightliner,03/2000,"Scrapped at CF Booth, Rotherham (01/2005)"
86637,86437,E3130,-,-,Freightliner Powerhaul,Freightliner,-,In service
86638,86438,E3108,-,-,Freightliner Green,Freightliner,-,In service
86639,86439,E3153,-,-,Freightliner Green,Freightliner,-,In service
86701,86205,E3129,Orion,2009-,Colas Rail Yellow & Orange,Europhoenix,01/2013,Stored at Barrow Hill Engine Shed
86702,86260,E3144,Cassiopeia,2009-,Electric Traction Limited Red and Grey,Europhoenix,01/2013,Stored at Barrow Hill Engine Shed
86901,86253,E3136,Chief Engineer,2005-,NR Yellow,Network Rail,03/2011,Stored at Derby RTC
86902,86210,E3190,Rail Vehicle Engineering,2005-,NR Yellow,Network Rail,03/2011,Stored at Derby RTC
