#,Stadium,Capacity,City,Country,Domed or Retractable roof
47,Tacoma Dome,"23,000","Tacoma, Washington",United States,D
48,Fargodome,"19,000","Fargo, North Dakota",United States,D
49,Walkup Skydome,"16,230","Flagstaff, Arizona",United States,D
50,Kibbie Dome,"16,000","Moscow, Idaho",United States,D
51,Alerus Center,"13,500","Grand Forks, North Dakota",United States,D
52,Holt Arena,"12,000","Pocatello, Idaho",United States,D
53,DakotaDome,"10,000","Vermillion, South Dakota",United States,D
54,UNI-Dome,"10,000","Cedar Falls, Iowa",United States,D
55,ETSU/Mountain States Health Alliance Athletic Center,"8,539","Johnson City, Tennessee",United States,D
56,Superior Dome,"8,432","Marquette, Michigan",United States,D
57,Round Valley Ensphere,"5,500","Eagar, Arizona",United States,D
