Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
1,1,Houston Texans,David Carr,QB,Fresno State,WAC,pre-signed
1,2,Carolina Panthers,Julius Peppers†,DE,North Carolina,ACC,
1,3,Detroit Lions,Joey Harrington,QB,Oregon,Pac-10,
1,4,Buffalo Bills,Mike Williams,OT,Texas,Big 12,
1,5,San Diego Chargers,Quentin Jammer,CB,Texas,Big 12,
1,6,Kansas City Chiefs,Ryan Sims,DT,North Carolina,ACC,from Dallas
1,7,Minnesota Vikings,Bryant McKinnie†,OT,Miami (FL),Big East,
1,8,Dallas Cowboys,Roy Williams†,SS,Oklahoma,Big 12,from Kansas City
1,9,Jacksonville Jaguars,John Henderson†,DT,Tennessee,SEC,
1,10,Cincinnati Bengals,Levi Jones,OT,Arizona State,Pac-10,
1,11,Indianapolis Colts,Dwight Freeney†,DE,Syracuse,Big East,
1,12,Arizona Cardinals,Wendell Bryant,DT,Wisconsin,Big Ten,
1,13,New Orleans Saints,Donté Stallworth,WR,Tennessee,SEC,
1,14,New York Giants,Jeremy Shockey†,TE,Miami (FL),Big East,from Tennessee
1,15,Tennessee Titans,Albert Haynesworth†,DT,Tennessee,SEC,from N.Y. Giants
1,16,Cleveland Browns,William Green,RB,Boston College,Big East,
1,17,Oakland Raiders,Phillip Buchanon,CB,Miami (FL),Big East,from Atlanta
1,18,Atlanta Falcons,T. J. Duckett,RB,Michigan State,Big Ten,from Washington via Oakland
1,19,Denver Broncos,Ashley Lelie,WR,Hawaiʻi,WAC,
1,20,Green Bay Packers,Javon Walker†,WR,Florida State,ACC,from Seattle
1,21,New England Patriots,Daniel Graham,TE,Colorado,Big 12,from Tampa Bay via Oakland and Washington
1,22,New York Jets,Bryan Thomas,DE,UAB,C-USA,
1,23,Oakland Raiders,Napoleon Harris,LB,Northwestern,Big Ten,
1,24,Baltimore Ravens,Ed Reed†,FS,Miami (FL),Big East,
1,25,New Orleans Saints,Charles Grant,DE,Georgia,SEC,from Miami
1,26,Philadelphia Eagles,Lito Sheppard†,CB,Florida,SEC,
1,27,San Francisco 49ers,Mike Rumph,CB,Miami (FL),Big East,
