Position,Driver,No.,Car,Entrant,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Total
33,Paul Ryan,22,Lotus Exige,Steel ForceChoice Petroleum,-,-,-,-,-,-,45,27,72
34,Justin Levis,78,Lotus Elise Motorsport 200Porsche 996 GT3 Cup Car,CUEAutoHaus Hamilton,-,24,-,-,-,39,-,-,63
35,Dean Lindstrom,7,Dodge Viper GTS ACR,Dupont,-,-,-,-,-,-,-,60,60
36,Maher Algadri,70,Porsche 996 GT3 Cup Car,PHR Scuderia,-,-,51,-,-,-,-,-,51
37,Andre Morriss,6,Lotus Exige,Witches Chase Cheese Co,-,-,-,-,-,-,42,9,51
38,Paul Pizzati,45,Porsche 996 GT3,Bolin Racing,-,-,-,-,-,-,-,45,45
39,Neil Bryson,25,Ferrari 360 Challenge,Betterdeal.com.au,-,-,-,18,25,-,-,-,43
40,Christian D'Agostin,45,Porsche 996 GT3,Bolin Racing,-,-,-,-,-,42,-,-,42
41,Dean Fiore,9,Porsche 996 GT3 Cup Car,Hallmarc,-,-,-,-,-,-,-,42,42
42,Blake Lynn,32,Porsche 996 GT3,Lynn Building Supplies,-,-,-,-,-,-,-,36,36
