Position,Driver,No.,Car,Entrant,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Total
1,Greg Crick,3,Dodge Viper GTS ACR,Crickcars.com,98,108,91,72,98,96,60,90,713
2,Bryce Washington,1 & 54,Porsche 996 GT3 Cup Car,ADRAD Radiator Experts,85,79.5,104,42,102,84,75,79.5,651
3,James Koundouris,69,Porsche 996 GT3 Cup Car,Dare ShotsSupabarn Supermarkets,76,28.5,78,84,69,30,96,63,524.5
4,Theo Koundouris,19,Porsche 996 GT3 Cup Car,Dare ShotsSupabarn Supermarkets,74,57,55,-,79,75,84,63,487
5,Sven Burchartz,90,Porsche 996 GT3,Cargraphic AG,32,18,-,63,57,69,114,85.5,438.5
6,David Wall,38,Porsche 996 GT3 RSR,RDS,32,37.5,63,-,80,33,-,117,362.5
7,John Teulan,88,Ferrari 360 ChallengeFerrari F430 Challenge,Industry Central - Stahlwille,47,48,61,77,-,48,48,19.5,348.5
8,Max Twigg,18 & 17,Porsche 996 GT3,Twigg Waste ManagementLuxton Plan,45,33,51,14,37,57,-,66,303
9,D'Arcy Russell,7,Dodge Viper GTS ACR,Dupont,34,31.5,-,23,-,117,-,60,265.5
10,David Reynolds,6 & 90,Porsche 996 GT3 Cup CarPorsche 996 GT3,Bob Jane T-martsCargraphics,-,90,-,-,-,69,-,85.5,244.5
11,Allan Simonsen,4,Ferrari 360 GTPorsche 996 GT3 Cup Car,Consolidated Chemical CompanyDare ShotsSupabarn Supermarkets,104,-,-,102,-,30,-,-,236
