#,Date,Film,Gross,Notes
12,"March 24, 2002",Blade II,"$32,528,016",
13,"March 31, 2002",Panic Room,"$30,056,751",
14,"April 7, 2002",Panic Room,"$18,244,157",
15,"April 14, 2002",Changing Lanes,"$17,128,062",
16,"April 21, 2002",The Scorpion King,"$36,075,875",The Scorpion King broke The Matrix's record ($27.8 mil) for the highest weekend debut in April.
17,"April 28, 2002",The Scorpion King,"$18,038,270",
18,"May 4, 2002",Spider-Man,"$114,844,116","Spider-Man broke Harry Potter and the Sorcerer's Stone's record ($90.3 mil) for the highest weekend debut of all-time, and The Lost World: Jurassic Park's record ($72.1 mil) for the highest weekend debut in May and X-Men's record ($54.4 million) for highest weekend debut for a Superhero film. Spider-Man was the first film ever to gross more than $100 million in 3 days, and had the highest weekend debut of 2002."
19,"May 12, 2002",Spider-Man,"$71,417,527",Spider-Man broke Harry Potter and the Sorcerer's Stone's record ($57.5 mil) for the highest second weekend gross.
20,"May 19, 2002",Star Wars Episode II: Attack of the Clones,"$80,027,814","Meanwhile, Spider-Man broke Star Wars Episode I: The Phantom Menace's record ($32.8 mil) for the highest third weekend gross."
21,"May 26, 2002",Star Wars Episode II: Attack of the Clones,"$47,880,532",
22,"June 2, 2002",The Sum of All Fears,"$31,178,526",
