Name,Elected,Term began,Term ended
Allan Pomeroy,"elected March 4, 1952",1952,1956
Gordon S. Clinton,"elected March 6, 1956and March 8, 1960",1956,1964
James d'Orma Braman,"elected March 10, 1964resigned March 23, 1969, to accept an appointment as an Assistant Secretary in the Department of Transportation in the Nixon administration.",1964,1969
Floyd C. Miller,"appointed March 23, 1969",1969,1969
Wesley C. Uhlman,"elected November 4, 1969and November 6, 1973survived recall attempt on July 1, 1975","December 1, 1969","January 1, 1978"
Charles Royer,"elected November 8, 1977, November 3, 1981, and November 5, 1985","January 1, 1978","January 1, 1990"
Norman B. Rice,"elected November 7, 1989","January 1, 1990","January 1, 1998"
Paul Schell,"elected November 4, 1997","January 1, 1998","January 1, 2002"
Gregory J. Nickels,"elected November 6, 2001and November 8, 2005","January 1, 2002","January 1, 2010"
Michael McGinn,"elected November 3, 2009","January 1, 2010","January 1, 2014"
Ed Murray,"elected November 5, 2013","January 1, 2014",present
