#,Date,Venue,Opponent,Score,Result,Competition
33,24 March 2007,"Parnell Park, Dublin",Fermanagh,–,3–15 : 0–7,National Football League Round 5
34,1 April 2007,"McHale Park, Castlebar",Mayo,–,0–9 : 0–10,National Football League Round 6
35,8 April 2007,"Parnell Park, Dublin",Kerry,–,2–7 : 1–12,National Football League Round 7
36,2 February 2008,"Parnell Park, Dublin",Westmeath,–,1–7 : 1–5,National Football League Round 1
37,1 March 2008,"Kingspan Breffni Park, Cavan",Cavan,–,1–9 : 0–7,National Football League Round 3
38,23 March 2008,"Parnell Park, Dublin",Monaghan,–,1–10 : 0–13,National Football League Round 4
39,13 April 2008,"Crossmaglen, Armagh",Armagh,–,1–10 : 3–13,National Football League Round 5
40,20 April 2008,"Parnell Park, Dublin",Meath,–,0–13 : 2–6,National Football League Round 7
41,26 April 2008,"Pairc Tailteann, Meath",Westmeath,–,0–10 : 0–15,National Football League Division 2 Final
42,31 January 2009,"Croke Park, Dublin",Tyrone,–,1–16 : 1–18,National Football League Round 1
