#,Date,Venue,Opponent,Score,Result,Competition
12,8 February 2004,"McHale Park, Castlebar",Mayo,–,0–3 : 1–10,National Football League Round 2
13,15 February 2004,"Parnell Park, Dublin",Kerry,–,0–12 : 1–12,National Football League Round 3
14,7 March 2004,"Cusack Park, Mullingar",Westmeath,–,0–15 : 0–10,National Football League Round 4
15,21 March 2004,"Parnell Park, Dublin",Cork,–,0–9 : 0–9,National Football League Round 6
16,5 February 2005,"Parnell Park, Dublin",Mayo,–,2–13 : 1–15,National Football League Round 1
17,13 February 2005,"Healy Park, Omagh",Tyrone,–,0–9 : 1–10,National Football League Round 2
18,5 March 2005,"Austin Stack Park, Tralee",Kerry,–,2–11 : 2–13,National Football League Round 3
19,12 March 2005,"Parnell Park, Dublin",Westmeath,–,0–11 : 0–9,National Football League Round 4
20,20 March 2005,"Parnell Park, Dublin",Donegal,–,1–11 : 0–13,National Football League Round 5
21,26 March 2005,"Pairc Ui Rinn, Cork",Cork,–,1–6 : 0–18,National Football League Round 6
22,3 April 2005,"O'Connor Park, Tullamore",Offaly,–,1–13 : 2–6,National Football League Round 7
