#,Date,Venue,Opponent,Score,Result,Competition
1,10 February 2002,"Parnell Park, Dublin",Donegal,–,2–10 : 0–14,National Football League Round 1
2,17 February 2002,"Healy Park, Omagh",Tyrone,–,2–10 : 0–18,National Football League Round 2
3,3 March 2002,"Parnell Park, Dublin",Westmeath,–,3–13 : 1–16,National Football League Round 4
4,24 March 2002,"Parnell Park, Dublin",Roscommon,–,0–16 : 2–12,National Football League Round 6
5,31 March 2002,"Tuam Stadium, Galway",Galway,–,1–12 : 1–12,National Football League Round 7
6,2 February 2003,"Parnell Park, Dublin",Armagh,–,0–7 : 1–15,National Football League Round 1
7,16 February 2003,"Parnell Park, Dublin",Tyrone,–,0–12 : 0–11,National Football League Round 3
8,2 March 2003,"Fitzgerald Stadium, Kerry",Kerry,–,0–14 : 2–11,National Football League Round 4
9,23 March 2003,"Dr. Hyde Park, Roscommon",Roscommon,–,0–17 : 0–14,National Football League Round 6
10,6 April 2003,"Parnell Park, Dublin",Galway,–,0–12 : 1–9,National Football League Round 7
11,1 February 2004,"Parnell Park, Dublin",Tyrone,–,0–9 : 0–8,National Football League Round 1
