Record,Athlete,Nation,Venue,Date,#
4.91 m (16 ft 11⁄4 in),Yelena Isinbayeva,Russia,"Athens, Greece",24 August 2004,7
4.92 m (16 ft 11⁄2 in),Yelena Isinbayeva,Russia,"Brussels, Belgium",3 September 2004,8
4.93 m (16 ft 2 in),Yelena Isinbayeva,Russia,"Lausanne, Switzerland",5 July 2005,9
4.95 m (16 ft 23⁄4 in),Yelena Isinbayeva,Russia,"Madrid, Spain",16 July 2005,10
4.96 m (16 ft 31⁄4 in),Yelena Isinbayeva,Russia,"London, England",22 July 2005,11
5.00 m (16 ft 43⁄4 in),Yelena Isinbayeva,Russia,"London, England",22 July 2005,12
5.01 m (16 ft 5 in),Yelena Isinbayeva,Russia,"Helsinki, Finland",9 August 2005,13
5.03 m (16 ft 6 in),Yelena Isinbayeva,Russia,"Rome, Italy",11 July 2008,14
5.04 m (16 ft 61⁄4 in),Yelena Isinbayeva,Russia,"Fontvieille, Monaco",29 July 2008,15
5.05 m (16 ft 63⁄4 in),Yelena Isinbayeva,Russia,"Beijing, China",18 August 2008,16
5.06 m (16 ft 7 in),Yelena Isinbayeva,Russia,"Zürich, Switzerland",28 August 2009,17
