Record,Athlete,Nation,Venue,Date,#
4.20 m (13 ft 91⁄4 in),Daniela Bártová,Czech Republic,"Köln, Germany",18 August 1995,8
4.21 m (13 ft 91⁄2 in),Daniela Bártová,Czech Republic,"Linz, Austria",22 August 1995,9
4.22 m (13 ft 10 in),Daniela Bártová,Czech Republic,"Salgotarjan, Hungary",11 September 1995,10
4.25 m (13 ft 111⁄4 in),Emma George,Australia,"Melbourne, Australia",30 November 1995,1
4.28 m (14 ft 01⁄2 in),Emma George,Australia,"Perth, Australia",17 December 1995,2
4.41 m (14 ft 51⁄2 in),Emma George,Australia,"Perth, Australia",28 January 1996,3
4.42 m (14 ft 6 in),Emma George,Australia,"Reims, France",29 June 1996,4
4.45 m (14 ft 7 in),Emma George,Australia,"Sapporo, Japan",14 July 1996,5
4.50 m (14 ft 9 in),Emma George,Australia,"Melbourne, Australia",8 February 1997,6
4.55 m (14 ft 11 in),Emma George,Australia,"Melbourne, Australia",20 February 1997,7
4.57 m (14 ft 113⁄4 in),Emma George,Australia,"Auckland, New Zealand",21 February 1998,8
