#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination
31,David William Dyer,FL,1910–1998,1966–1976,——,1976–1981,L. Johnson,reassignment to 11th Circuit
32,John Milton Bryan Simpson,FL,1903–1987,1966–1975,——,1975–1981,L. Johnson,reassignment to 11th Circuit
33,Claude Feemster Clayton,MS,1909–1969,1967–1969,——,——,L. Johnson,death
34,Lewis Render Morgan,GA,1913–2001,1968–1978,——,1978–1981,L. Johnson,reassignment to 11th Circuit
35,Harold Carswell,FL,1919–1992,1969–1970,——,——,Nixon,resignation
36,Charles Clark,MS,1925–2011,1969–1992,1981–1992,——,Nixon,retirement
37,Joe McDonald Ingraham,TX,1903–1990,1969–1973,——,1973–1990,Nixon,death
38,Paul Hitch Roney,FL,1921–2006,1970–1981,——,——,Nixon,reassignment to 11th Circuit
39,Thomas Gibbs Gee,TX,1925–1994,1973–1991,——,——,Nixon,retirement
40,Gerald Bard Tjoflat,FL,1929–,1975–1981,——,——,Ford,reassignment to 11th Circuit
