#,Date,Venue,Opponents,Score,Comp,Denmark scorers
184,1953-06-27,"St. Jakob-Park, Basel (A)",Switzerland,4-1,F,"Knud Ove Sørensen, Aage Rou Jensen (2), Jens Peter Hansen"
185,1953-08-09,"Idrætsparken, Copenhagen (H)",Iceland,4-0,F,"Holger Seebach (2), Erik Nielsen, Erik Hansen"
186,1953-09-13,"Ullevaal Stadion, Oslo (A)",Norway,1-0,NC,Bent Sørensen
187,1953-10-04,"Idrætsparken, Copenhagen (H)",Finland,6-1,NC,"Jens Peter Hansen (2), Poul Erik \Popper\"" Petersen"
188,1954-06-04,"Malmö Idrottsplats, Malmö (N)",Norway,1-2(aet),OT,Valdemar Kendzior
189,1954-06-13,"Olympic Stadium, Helsinki (A)",Finland,2-2,NC,Valdemar Kendzior (2)
190,1954-09-19,"Idrætsparken, Copenhagen (H)",Switzerland,1-1,F,Jørgen Olesen
191,1954-10-10,"Råsunda Stadium, Stockholm (A)",Sweden,2-5,NC,"Jens Peter Hansen, Bent Sørensen"
192,1954-10-31,"Idrætsparken, Copenhagen (H)",Norway,0-1,NC,
193,1955-03-13,"Olympic Stadium, Amsterdam (A)",Netherlands,1-1,F,Vagn Birkeland
