Representative,State,District(s),Served,Party,Date of birth,Date of death,Age
William R. Poage,Texas,11,1937–1978,Democratic,"December 29, 1899","January 3, 1987","87 years, 5 days"
Aubert C. Dunn,Mississippi,5,1935–1937,Democratic,"November 20, 1896","January 4, 1987","90 years, 45 days"
Charles Goodell,New York,"43, 38",1959–1968,Republican,"March 16, 1926","January 21, 1987","60 years, 311 days"
Sala Burton,California,5,1983–1987,Democratic,"April 1, 1925","February 1, 1987","61 years, 306 days"
Harold Earthman,Tennessee,5,1947–1949,Democratic,"April 13, 1900","February 26, 1987","86 years, 319 days"
LaFayette L. Patterson,Alabama,5,1928–1933,Democratic,"August 23, 1888","March 3, 1987","98 years, 192 days"
W. Sterling Cole,New York,"37, 39",1935–1957,Republican,"April 18, 1904","March 15, 1987","82 years, 331 days"
Claude I. Bakewell,Missouri,11,"1947–1949, 1951–1953",Republican,"August 9, 1912","March 18, 1987","74 years, 221 days"
Tim L. Carter,Kentucky,5,1965–1981,Republican,"September 2, 1910","March 27, 1987","76 years, 206 days"
James G. Donovan,New York,18,1951–1957,Democratic,"December 15, 1898","April 6, 1987","88 years, 112 days"
