Rank,Bib,Name,Country,Time,Deficit
23,10,Martin Bajčičák,Slovakia,40:28.0,+1:58.3
24,11,Jonas Baumann,Switzerland,40.33.2,+2:03.5
25,46,Evgeniy Belov,Russia,40:36.8,+2:07.1
26,36,Tim Tscharnke,Germany,40:41.3,+2:11.6
27,60,Philipp Haelg,Liechtenstein,40:41.5,+2:11.8
28,14,Ville Nousiainen,Finland,40:52.6,+2:22.9
29,4,Maciej Kreczmer,Poland,40.58.7,+2:29.0
30,22,Francesco de Fabiani,Italy,41:00.8,+2:31.1
31,32,Noah Hoffman,United States,41:02.7,+2:33.0
32,30,Dietmar Nöckeler,Italy,41:11.9,+2:42.2
