Number,Event,Type,Matthew,Mark,Luke,John
50,The Centurion's Servant,miracle,Matthew 08:05–13,,Luke 07:01–10,John 04:46–54
51,Healing the mother of Peter's wife,miracle,Matthew 08:14–17,Mark 01:29–34,Luke 04:38–41,
52,Exorcising at sunset,miracle,Matthew 08:16–17,Mark 01:32–34,Luke 04:40–41,
53,Calming the storm,miracle,Matthew 08:23–27,Mark 04:35–41,Luke 08:22–25,
54,Gerasenes demonic,miracle,Matthew 08:28–34,Mark 05:01–20,Luke 08:26–39,
55,Paralytic at Capernaum,miracle,Matthew 09:01–08,Mark 02:01–12,Luke 05:17–26,
56,Calling of Matthew,ministry,Matthew 09:09,Mark 02:13–14,Luke 05:27–28,
57,New Wine into Old Wineskins,parable,Matthew 09:17–17,Mark 02:22–22,Luke 05:37–39,
58,Daughter of Jairus,miracle,Matthew 09:18–26,Mark 05:21–43,Luke 08:40–56,
59,The Bleeding Woman,miracle,Matthew 09:20–22,Mark 05:24–34,Luke 08:43–48,
60,Two Blind Men at Galilee,miracle,Matthew 09:27–31,,,
61,Exorcising a mute,miracle,Matthew 09:32–34,,,
62,Commissioning the twelve Apostles,ministry,Matthew 10:02–04,Mark 03:13–19,Luke 06:12–16,
63,But to bring a sword,ministry,Matthew 10:34–36,,,
64,Messengers from John the Baptist,ministry,Matthew 11:02–06,,Luke 07:18–23,
65,Paralytic at Bethesda,miracle,,,,John 05:01–18
