Region,Seed,Team,Coach,Finished,Final opponent,Score
West,,,,,,
West,1,St. John's,Lou Carnesecca,Round of 32,8 Auburn,L 81-65
West,2,Louisville,Denny Crum,Champion,1 Duke,W 72-69
West,3,North Carolina,Dean Smith,Sweet Sixteen,2 Louisville,L 94-79
West,4,UNLV,Jerry Tarkanian,Sweet Sixteen,8 Auburn,L 70-63
West,5,Maryland,Lefty Driesell,Round of 32,4 UNLV,L 70-64
West,6,UAB,Gene Bartow,Round of 32,3 North Carolina,L 77-59
West,7,Bradley,Dick Versace,Round of 32,2 Louisville,L 82-68
West,8,Auburn,Sonny Smith,Regional Runner-up,2 Louisville,L 84-76
West,9,Arizona,Lute Olson,Round of 64,8 Auburn,L 73-63
West,10,UTEP,Don Haskins,Round of 64,7 Bradley,L 83-65
West,11,Missouri,Norm Stewart,Round of 64,6 UAB,L 66-64
