Club,Enteredadministration,Exitedadministration,League(s),Deduction(s)
Queens Park Rangers,2 April 2001,17 November 2002,First Division,None
Halifax Town,9 April 2002,March 2003,Third DivisionFootball Conference,None
Bradford City,16 May 2002,1 August 2002,First Division,None
Notts County,June 2002,December 1993,Third Division,None
Barnsley,3 October 2002,25 October 2003,Second Division,None
Leicester City,21 October 2002,16 November 2004,First Division,None
Port Vale,16 December 2002,2003,Second Division,None
York City,18 December 2002,26 March 2003,Third Division,None
Derby County,20 October 2003,20 October 2003,Championship,None
Ipswich Town,10 February 2003,30 May 2003,First Division,None
