No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result
67,100,Richie Richardson (3/3),West Indies,222,1,Australia,29 April 1995,Lost
68,126,Mark Waugh,Australia,192,2,West Indies,29 April 1995,Won
69,200,Steve Waugh (1/2),Australia,425,2,West Indies,29 April 1995,Won
70,129,Carl Hooper,West Indies,212,1,India,6 March 1997,Drawn
71,100,Steve Waugh (2/2),Australia,165,1,West Indies,13 March 1999,Lost
72,213,Brian Lara (1/3),West Indies,344,2,Australia,13 March 1999,Won
73,113,Murray Goodwin,Zimbabwe,239,1,West Indies,24 March 2000,Lost
74,101*,Jimmy Adams,West Indies,372,2,Zimbabwe,24 March 2000,Won
75,113,Wavell Hinds,West Indies,200,1,India,18 May 2002,Won
76,108,Devon Smith,West Indies,188,1,England,11 March 2004,Lost
77,261*,Ramnaresh Sarwan (1/2),West Indies,402,2,Bangladesh,4 June 2004,Won
