Name of President,Picture,Life span,Year of Presidency,Place of Conference
Rahimtulla M. Sayani,,5 April 1847 – 1902,1896,Calcutta
C. Sankaran Nair,,11 July 1857 – 1934,1897,Amraoti
Anandamohan Bose,,23 September 1847 – 1906,1898,Madras
Romesh Chunder Dutt,,13 August 1848 – 1909,1899,Lucknow
N. G. Chandavarkar,,2 December 1855 – 1923,1900,Lahore
Dinshaw Edulji Wacha,,2 August 1844 – 1936,1901,Calcutta
Surendranath Banerjee,,10 November 1825 – 1917,1902,Ahmedabad
Lalmohan Ghosh,,1848–1909,1903,Madras
Henry Cotton,,1845–1915,1904,Bombay
Gopal Krishna Gokhale,,9 May 1866 – 1915,1905,Benares
Dadabhai Naoroji,,4 September 1825 – 1917,1906,Calcutta
