Rank,City,Population (2011),Population (2001),State/Territory
61,Trivandrum (Thiruvananthapuram),"752,490","744,983",Kerala
62,Bhiwandi,"711,329","598,741",Maharashtra
63,Saharanpur,"703,345","455,754",Uttar Pradesh
64,Gorakhpur,"671,048","622,701",Uttar Pradesh
65,Guntur,"651,382","514,461",Andhra Pradesh
66,Bikaner,"647,804","529,690",Rajasthan
67,Amravati,"646,801","549,510",Maharashtra
68,Noida,"642,381","305,058",Uttar Pradesh
69,Jamshedpur,"629,659","573,096",Jharkhand
70,Bhilai,"625,697","556,366",Chhattisgarh
71,Warangal,"620,116","530,636",Andhra Pradesh
72,Mangalore,"619,664","399,565",Karnataka
73,Cuttack,"606,007","534,654",Orissa
74,Firozabad,"603,797","279,102",Uttar Pradesh
75,Kochi (Cochin),"601,574","596,473",Kerala
76,Bhavnagar,"593,768","511,085",Gujarat
77,Dehradun,"578,420","426,674",Uttarakhand
78,Durgapur,"566,937","493,405",West Bengal
79,Asansol,"564,491","475,439",West Bengal
80,Nanded,"550,564","430,733",Maharashtra
