Release Date,Album,Catalog Number,Chart Position,Notes
"April 21, 2007",Plain,KICS-1303,18,Album
"April 21, 2007",Tanoshii Douyou,KICG-53~55,70,
"June 25, 2008",Slayers MEGUMIX,KICA-916~918,14,Collection of Slayers Theme Songs and remixes
"July 23, 2008",Plenty of grit,KICM-1245,6,Single - Slayers Revolution Opening/Ending
"February 18, 2009",Front Breaking,KICM-1268,15,Single - Slayers Evolution-R Opening/Ending
"April 22, 2009",Shuuketsu no sono he,KICM-1271,7,Single - Neon Genesis Evangelion related (CR Shin Seiki Evangelion -Saigo no Shisha-)
"October 4, 2009",MOE FIRE,NMAX-80005,,Mini Album
"July 21, 2010",CHOICE,KICS-91548,6,Album
"July 21, 2010",Shuuketsu no sadame,KICM-1310,6,Single
"June 11, 2011",VINTAGE White,KICS-91670,9,Greatest Hits compilation
