Release Date,Album,Catalog Number,Chart Position,Notes
"October 10, 1998",Proof of myself,KIDA-170,9,Single Saber Marionette J to X Theme
"May 28, 1999",Question at Me,KIDA-180,13,Single
"October 27, 1999",FUWARI (ふわり),KICS-755,5,Album
"December 3, 1999",Booska! Booska!!,KIDA-190,50,Single
"April 26, 2000",Vintage S,KICS-790,6,Greatest Hits compilation
"May 24, 2000",Sakura Saku,KICA-506,7,Single - Contains Love Hina Themes
"June 21, 2000",Vintage A,KICS-810,4,Greatest Hits compilation
"October 25, 2000",unsteady,KIDA-204,14,Single - Contains themes from Muteki-O Trizenon
"July 21, 2001",Maemuki Roketto-dan,ZMCP-1259,62,Pocket Monsters 12th ending single.
"August 29, 2001",Over Soul,KICM-3016,7,Single - Shaman King Themes
