Release Date,Album,Catalog Number,Chart Position,Notes
"December 29, 2001",Brave Heart,KICM-3021,11,Single - Shaman King related
"December 5, 2001",feel well,KICM-3020,11,Single - Slayers Premium Theme
"March 27, 2002",Northern Lights,KICM-3027,3,Single - Shaman King Theme
"April 24, 2002",Treat or Goblins,KICM-3030,19,Single - Magical Shopping Arcade Abenobashi Theme
"June 26, 2002",feel well,KICS-955,7,Album
"September 25, 2002",KOIBUMI,KICM-3035,7,Single
"September 26, 2003",Makenaide Makenaide,KICM-1083,8,Single - Contains the themes for Hayashibara's radio show Heartfull Station
"January 7, 2004",Center Color,KICS-1070,10,Album
"July 26, 2006",Meet again,KICM-1164,12,Single - Made in commemoration of Slayers' 10th anniversary
"February 7, 2007",A Happy Life,KICM-1196,12,Single - Gakuen Utopia Manabi Straight! Themes
