M,Date,Tournament,Round,Ground,Opponent,Score,Attendance,Dinamo Scorers,Report
22,21 Oct,UEL,Group,H,Club Brugge,0 – 0,"22,000",,Sportnet.hr
23,23 Oct,1. HNL,12,H,Šibenik,1 – 0,"3,000",Tomečak,Sportnet.hr
24,27 Oct,Cup,R2,A,Karlovac,2 – 0,"1,500","Bećiraj, Cufré",Sportnet.hr
25,30 Oct,1. HNL,13,A,Inter Zaprešić,3 – 0,"3,000","Tonel, Sammir, Ibáñez",Sportnet.hr
26,04 Nov,UEL,Group,A,Club Brugge,2 – 0,"15,000","Sammir, Bišćan",Sportnet.hr
27,07 Nov,1. HNL,14,H,Zadar,1 – 0,"4,000",Tomečak,Sportnet.hr
28,13 Nov,1. HNL,15,A,RNK Split,1 – 0,"4,000",Calello,Sportnet.hr
29,20 Nov,1. HNL,16,A,Hrvatski Dragovoljac,6 – 0,"1,000","Tomečak, Chago, Ibáñez, Kovačić, Badelj, Bećiraj",Sportnet.hr
30,23 Nov,Cup,QF,H,Osijek,2 – 0,"1,000","Tonel, Kramarić",Sportnet.hr
31,27 Nov,1. HNL,17,A,Rijeka,2 – 0,"2,500","Bećiraj, Badelj",Sportnet.hr
