Number,Name,Team,Position,Years with franchise,Note
2,Mitch Richmond,Sacramento Kings,G,1991–1998,
4,Chris Webber,Sacramento Kings,F,1998–2005,
6,The fans,Sacramento Kings,,,
11,Bob Davies,Sacramento Kings,G,1948–1955,The team was then known as the Rochester Royals.
12,Maurice Stokes,Sacramento Kings,F,1955–1958,The team was known as the Rochester Royals through 1955–1957 and moved to Cincinnati starting with the 1957–58 season in which his career was ended by a crippling head injury.
14,Oscar Robertson,Sacramento Kings,G,1960–1970,The team was then known as the Cincinnati Royals.
21,Vlade Divac,Sacramento Kings,C,1999–2004,
27,Jack Twyman,Sacramento Kings,F,1955–1966,The team was known as the Rochester Royals through 1955–1957 and then as the Cincinnati Royals for the remainder of his career.
44,Sam Lacey,Sacramento Kings,C,1970–1981,"During his career with the team, it was known first as the Cincinnati Royals (1970–1972), then the Kansas City–Omaha Kings (1972–1975), and finally as the Kansas City Kings (1975–1981)."
00,Johnny Moore,San Antonio Spurs,G,1980–1988; 1989–1990,
6,Avery Johnson,San Antonio Spurs,G,"1990–1993, 1994–2001",
12,Bruce Bowen,San Antonio Spurs,F,2001–2009,
13,James Silas,San Antonio Spurs,G,1972–1981,"In his rookie season (1972–1973), the team was known as the Dallas Chaparrals."
32,Sean Elliott,San Antonio Spurs,F,1989–1993; 1994–2001,
44,George Gervin,San Antonio Spurs,G,1974–1985,
50,David Robinson,San Antonio Spurs,C,1989–2003,
1,Gus Williams,Seattle SuperSonics,G,1977–1984,
10,Nate McMillan,Seattle SuperSonics,G,1986–1998,Played for the Seattle SuperSonics and served as their head coach (2000–2005).
19,Lenny Wilkens,Seattle SuperSonics,G,1968–1972,Played for the Seattle SuperSonics and served as their head coach (1969–1972; 1977–1985).
