Number,Name,Team,Position,Years with franchise,Note
24,Spencer Haywood,Seattle SuperSonics,F,1971–1975,
32,Fred Brown,Seattle SuperSonics,G,1971–1984,
43,Jack Sikma,Seattle SuperSonics,C,1977–1986,
Microphone,Bob Blackburn,Seattle SuperSonics,—,1967–1992,Announcer for the Seattle SuperSonics.
1,Frank Layden,Utah Jazz,—,1981–1988,As head coach; also served as team president (1988–1998).
4,Adrian Dantley,Utah Jazz,F,1979–1986,
7,Pete Maravich,Utah Jazz,G,1974–1979,The team was in New Orleans from 1974–1979. He also played 17 games of the 1979–80 season after the team moved to Salt Lake City.
9,Larry Miller,Utah Jazz,—,1985–2009,As owner.
12,John Stockton,Utah Jazz,G,1984–2003,
14,Jeff Hornacek,Utah Jazz,G,1994–2000,
32,Karl Malone,Utah Jazz,F,1985–2003,
35,Darrell Griffith,Utah Jazz,G,1980–1991,
53,Mark Eaton,Utah Jazz,C,1982–1993,
"1,223",Jerry Sloan,Utah Jazz,—,1988–2011,As head coach; the number represents his 1223 victories coaching the Jazz.
Microphone,Rod Hundley,Utah Jazz,—,1974–2009,As broadcaster.
10,Earl Monroe,Washington Wizards,G,1967–1971,The team was then known as the Baltimore Bullets.
11,Elvin Hayes,Washington Wizards,F,1972–1981,"When he joined the team, it was known as the Baltimore Bullets. After one season, the team moved to Landover, Maryland, adopting the name of Capital Bullets for the 1973–74 season before being known as the Washington Bullets."
25,Gus Johnson,Washington Wizards,F,1963–1972,The team was then known as the Baltimore Bullets.
41,Wes Unseld,Washington Wizards,C,1968–1981,"When he started his career with the team, it was known as the Baltimore Bullets. In 1973, the team moved to Landover, Maryland, adopting the name of Capital Bullets for the 1973–74 season before being known as the Washington Bullets. Also served as head coach (1987–1994); the team did not adopt the Wizards nickname until the 1997–98 season."
