Name,Founded,Defunct,Country,Publisher,Topics,External Link
Computing With The Amstrad,1985,1988,"United Kingdom, Australia",Database Publications,Computing With The Amstrad or CWTA was renamed CPC Computing then merged into Amstrad Computer User. An Australian version ran from 1986-87. It also incorporated Amtix!,N/A
CRASH,1983,1992,United Kingdom,Newsfield & Europress,Sinclair Spectrum,http://www.crashonline.org.uk/
Donya ye Bazi,2005,,Iran,?,First Official Iranian Game Magazine,http://www.dbazinews.com/
Dragon User,1982,1989,United Kingdom,Sunshine Publications,Dragon 32/64 computers,?
EDGE,1993,,United Kingdom,?,"Console, Pc, Arcade, Mobile games",http://www.edge-online.com/
eGaming Review,?,,United Kingdom,?,UK-based; focuses on online gambling business and regulation,?
Electronic Games,1981,1994,United States,?,?,N/A
Electronic Gaming Monthly,1989,,United States,?,?,http://www.egmnow.com/
EGM²,1994,1999,United States,?,?,?
Electronic Fun with Computers & Games,1982,1984,United States,Fun & Games Publishing Inc.,"video, computer and arcade games",N/A
