,Name,Took office,Left office,Party,Notes/Events
11,Alexander Contee Hanson,"March 4, 1813",1816,Federalist,resigned
12,George Peter,"October 7, 1816","March 3, 1819",Federalist,
13,Henry Ridgely Warfield,"March 4, 1819","March 3, 1823",Federalist,
13,Henry Ridgely Warfield,"March 4, 1823","March 3, 1825",Adams Federalist,
14,George Peter,"March 4, 1825","March 3, 1827",Jacksonian,
15,George Corbin Washington,"March 4, 1827","March 3, 1829",Adams,
15,George Corbin Washington,"March 4, 1829","March 3, 1833",Anti-Jacksonian,
17,James Turner,"March 4, 1833","March 3, 1837",Jacksonian,
18,John Tolley Hood Worthington,"March 4, 1837","March 3, 1841",Democratic,
19,James Wray Williams,"March 4, 1841","December 2, 1842",Democratic,died
