Saros,Member,Date,Time(Greatest)UTC,Type,"LocationLat,Long",Gamma,Mag.,Width(km),Duration(min:sec),Ref
160,1,"May 13, 2181",14:55:43,Partial,69.4S 16.9W,-1.5323,0.051,,,[1]
160,2,"May 24, 2199",21:42:07,Partial,68.5S 130.1W,-1.4596,0.1742,,,[2]
160,3,"June 5, 2217",4:22:21,Partial,67.5S 118.9E,-1.3807,0.3094,,,[3]
160,4,"June 16, 2235",11:00:36,Partial,66.5S 8.8E,-1.299,0.4502,,,[4]
160,5,"June 26, 2253",17:36:11,Partial,65.5S 100.1W,-1.2139,0.5981,,,[5]
160,6,"July 8, 2271",0:13:02,Partial,64.5S 151.1E,-1.1284,0.7474,,,[6]
160,7,"July 18, 2289",6:50:58,Partial,63.6S 42.3E,-1.0426,0.898,,,[7]
160,8,"July 30, 2307",13:31:16,Annular,50S 48.7W,-0.9574,0.9602,501,3m 37s,[8]
160,9,"August 9, 2325",20:16:24,Annular,40.3S 146.1W,-0.8749,0.9648,256,3m 24s,[9]
160,10,"August 21, 2343",3:07:05,Annular,35.1S 112.8E,-0.7957,0.9679,186,3m 9s,[10]
