No.,Constituency,Winner Candidate,Party,Votes,Margin
129,Fatepura,Katara Rameshbhai Bhurabhai,BJP,57828,6264
130,Jhalod,Garasiya Miteshbhai Kalabhai,INC,78077,40073
131,Limkheda,Bhabhor Jashvantsinh Sumanbhai,BJP,67219,15331
132,Dahod,Panada Vajesingbhai Parsingbhai,INC,73956,39548
133,Garbada,Bariya Chandrikaben Chhaganbhai,INC,69295,35774
134,Devgadh Baria,Bachu Khabad,BJP,113582,83753
135,Savli,Inamdar Ketanbhai Mahendrabhai,Independent,62849,20319
136,Vaghodia,Shrivastav Madhubhai Babubhai,BJP,65851,5788
137,Chhota Udaipur,Rathwa Mohansinh Chhotubhai,INC,65043,2305
138,Jetpur,Radadiya Jayeshbhai Vitthalbhai,INC,61966,4273
139,Sankheda,Bhil Dhirubhai Chunilal,BJP,80579,1452
140,Dabhoi,Balkrishna Patel,BJP,70833,5122
141,Vadodara City,Vakil Manisha Rajivbhai,BJP,103700,51889
142,Sayajigunj,Sukhadiya Jitendra Ratilal,BJP,107358,58237
143,Akota,Saurabh Patel,BJP,95554,49867
144,Raopura,Rajendra Trivedi,BJP,99263,41535
145,Manjalpur,Yogesh Patel,BJP,92642,51785
146,Padra,Patel Dineshbhai Balubhai,BJP,75227,4308
