No.,Constituency,Winner Candidate,Party,Votes,Margin
1,Abdasa,Chhabilbhai Naranbhai Patel,INC,60704,7613
2,Mandvi,Tarachand Jagashi Chheda,BJP,61984,8506
3,Bhuj,Dr Nimaben Aacharya,BJP,69174,8973
4,Anjar,Ahir Vasanbhai Gopalbhai,BJP,64789,4728
5,Gandhidham,Maheshwari Ramesh Vachchhraj,BJP,72988,21313
6,Rapar,Patel Vaghajibhai Dharamshibhai,BJP,55280,9216
7,Vav,Shankarbhai Lagdhirbhai Patel,BJP,72640,11911
8,Tharad,Parbat Patel,BJP,68517,3473
9,Dhanera,Patel Joitabhai Kasnabhai,INC,87460,30291
10,Danta,Kharadi Kantibhai Kalabhai,INC,73751,26990
11,Vadgam,Manilal Jethabhai Vaghela,INC,90375,21839
12,Palanpur,Patel Maheshkumar Amrutlal,INC,75097,5284
13,Deesa,Vaghela Liladharbhai Khodaji,BJP,66294,17706
14,Deodar,Chauhan Keshaji Shivaji,BJP,76265,20809
15,Kankrej,Khanpura Dharshibhai Lakhabhai,INC,73900,600
16,Radhanpur,Thakor Nagarji Harchandji,BJP,69493,3834
17,Chanasma,Dilipkumar Virajibhai Thakor,BJP,83462,16824
18,Patan,Desai Ranchhodbhai Mahijibhai,BJP,67224,5871
19,Sidhpur,Balvantsinh Chandansinh Rajput,INC,87518,25824
