Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
49,59,Daniela Markova,Czech Republic,1:13.78,52,1:18.87,49,2:32.65,+12.11
50,58,Nevena Ignjatović,Serbia,1:14.38,58,1:18.56,47,2:32.94,+12.40
51,80,Maria Kirkova,Bulgaria,1:13.70,51,1:19.56,54,2:33.26,+12.72
52,77,Bogdana Matsotska,Ukraine,1:14.21,56,1:19.18,51,2:33.39,+12.85
53,68,Zsofia Doeme,Hungary,1:14.57,59,1:18.93,50,2:33.50,+12.96
54,56,Anna-Laura Bühler,Liechtenstein,1:14.22,57,1:19.36,52,2:33.58,+13.04
55,67,Martina Dubovska,Czech Republic,1:14.62,60,1:19.95,55,2:34.57,+14.03
,7,Kathrin Hölzl,Germany,1:09.41,20,DNS,,,
,4,Maria Riesch,Germany,1:07.86,4,DNF,,,
,38,Rebecca Bühler,Liechtenstein,1:12.03,40,DNF,,,
,47,Vanessa Schädler,Liechtenstein,1:12.47,43,DNF,,,
,69,Iris Gudmundsdottir,Iceland,1:13.93,55,DNF,,,
