Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
3 October 1993,14,"\I'd Do Anything for Love\"" ‡ (#1)""",Meat Loaf,1,17 October 1993,7
28 November 1993,7,"\Mr Blobby\"" ‡ (#6)""",Mr Blobby,1,5 December 1993,3
5 December 1993,6,"\For Whom the Bell Tolls\"" ‡""",The Bee Gees,4,19 December 1993,2
5 December 1993,7,"\It's Alright\""""",East 17,3,9 January 1994,1
12 December 1993,5,"\Babe\"" ‡""",Take That,1,12 December 1993,1
12 December 1993,7,"\Twist and Shout\""""",Chaka Demus & Pliers featuring Jack Radics and Taxi Gang,1,2 January 1994,2
12 December 1993,5,"\The Perfect Year\""""",Dina Carroll,5,2 January 1994,1
19 December 1993,3,"\Bat Out of Hell\"" ‡""",Meat Loaf,8,19 December 1993,2
26 December 1993,7,"\Come Baby Come\""""",K7,3,16 January 1994,2
2 January 1994,9,"\Things Can Only Get Better\"" (#9)""",D:Ream,1,16 January 1994,4
9 January 1994,4,"\Anything\""""",Culture Beat,5,9 January 1994,2
9 January 1994,8,"\All for Love\""""","Bryan Adams, Rod Stewart and Sting",2,23 January 1994,1
16 January 1994,3,"\Cornflake Girl\""""",Tori Amos,4,23 January 1994,1
16 January 1994,1,"\Save Our Love\""""",Eternal,8,16 January 1994,1
