Name,Season(s),Position(s),Notes
Omar Daal,2000–2001,Pitcher,15–16 record4.52 earned run average158 strikeouts
Babe Dahlgren,1943,First baseman,.287 batting average5 home runs56 runs batted in
Sam Dailey,1929,Pitcher,2–2 record7.54 earned run average18 strikeouts
Ed Daily,1885–1887,OutfielderPitcher,.230 batting average6 home runs42–36 record2.77 earned run average
Clay Dalrymple,1960–1968,Catcher,.234 batting average50 home runs312 runs batted in
Tony Daniels,1945,Second baseman,.200 batting average2 triples10 runs batted in
Alvin Dark,1960,Third baseman,.242 batting average3 home runs14 runs batted in
George Darrow,1934,Pitcher,2–6 record5.51 earned run average14 strikeouts
Darren Daulton§,19831985–1997,Catcher,.245 batting average134 home runs567 runs batted in
Curt Davis,1934–1936,Pitcher,37–35 record3.42 earned run average191 strikeouts
Dick Davis,1981–1982,Right fielder,.311 batting average4 home runs26 runs batted in
