Date,Site,Winning team,Winning team,Losing team,Losing team,Series
1992,Ames,Iowa State,28,Missouri,14,Missouri 48–28–9
1993,Columbia,Missouri,37,Iowa State,34,Missouri 49–28–9
1994,Ames,Missouri,34,Iowa State,20,Missouri 50–28–9
1995,Columbia,Missouri,45,Iowa State,31,Missouri 51–28–9
1996,Ames,Iowa State,45,Missouri,31,Missouri 51–29–9
1997,Columbia,Missouri,45,Iowa State,21,Missouri 52–29–9
1998,Ames,#21 Missouri,35,Iowa State,19,Missouri 53–29–9
1999,Columbia,Iowa State,24,Missouri,21,Missouri 53–30–9
2000,Ames,Iowa State,39,Missouri,20,Missouri 53–31–9
2001,Columbia,Iowa State,20,Missouri,14,Missouri 53–32–9
