Year,Round,Against,Score,Scorers
1930,Group B,Yugoslavia,1–2,Preguinho
1930,Group B,Bolivia,4–0,"Moderato (2), Preguinho (2)"
1934,Round 1,Spain,1–3,Leônidas
1938,Round 1,Poland,6–5 (AET),"Leônidas (3), Romeu, Perácio (2)"
1938,Quarter-Final,Czechoslovakia,1–1 (AET),Leônidas
1938,Quarter-Final (replay),Czechoslovakia,2–1,"Leônidas, Roberto"
1938,Semi-Final,Italy,1–2,Romeu
1938,Bronze Final,Sweden,4–2,"Romeu, Leônidas (2), Perácio"
1950,Group A,Mexico,4–0,"Ademir (2), Jair, Baltazar"
1950,Group A,Switzerland,2–2,"Alfredo, Baltazar"
1950,Group A,Yugoslavia,2–0,"Ademir, Zizinho"
