Game,Date,Opponent,Venue,Result,Attendance,Goalscorers
1,19 August 1978,Hereford United,Away,0–0,"5,674",
2,23 August 1978,Grimsby Town,Home,0–3,"9,227",
3,26 August 1978,Reading,Away,0–2,"4,788",
4,2 September 1978,Newport County,Home,2–3,"5,319","Hinnigan, Purdie"
5,9 September 1978,Wimbledon,Away,1–2,"3,217",Corrigan
6,13 September 1978,Rochdale,Home,3–0,"5,746","Wright, Corrigan, Hinnigan"
7,16 September 1978,Bradford City,Home,1–3,"7,090",Purdie
8,23 September 1978,York City,Away,1–0,"3,307",Gore
9,26 September 1978,Portsmouth,Away,0–1,"13,902",
10,30 September 1978,Scunthorpe United,Home,1–0,"4,459",Brownbill
