Ship Name,Desig,Status,Notes,Links
Dewey,DD-349,Undamaged,"moored berth X-2 with Phelps, MacDonough, Worden, Hull and Dobbin",[21]
Farragut,DD-348,Undamaged,starboard to port),[22]
Hull,DD-350,Very minor damage from a bomb near-miss,"berth X-2, nested with Dobbins, Dewey, Worden, MacDonough, and Phelps",[23]
Macdonough,DD-351,Undamaged,"berth X-2, nested with Dobbins, Hull, Dewey, Worden and Phelps",[24]
Worden,DD-352,Undamaged,"moored Berth X-2, undergoing routine upkeep alongside portside of the Dobbin. Nested to portside were Hull, Phelps, Dewey and MacDonough",[25]
Dale,DD-353,Undamaged,starboard to port),[26]
Monaghan,DD-354,Undamaged,starboard to port),[27]
Aylwin,DD-355,Minor damage to propeller,"berthed at buoy X-18 with Dale to port, followed by Farragut and Monagaham",[28]
Selfridge,DD-357,Undamaged,"nested with Conyngham, Tucker, Case and Reid, undergoing repairs alongside Whitney at berth X-8",[29]
Phelps,DD-360,Undamaged,"berth X-2 undergoing tender overhaul, nested with Hull, Dewey, Worden, MacDonough, and Dobbins",[30]
