Ship Name,Desig,Status,Notes,Links
Breese,DM-18,Undamaged,"moored in berth D-3, Middle Loch, in nest with division, order of ships from starboard Ramsay, Breese, Montgomery, and Gamble",[60]
Tracy,DM-19,Undamaged,"moored portside to berth B-15, Navy Yard, unarmed, disabled, undergoing overhaul. Preble and Cummings were moored to starboard in that order.",[61]
Preble,DM-20,Undamaged,"moored in berth B-15, undergoing scheduled overhaul, no arms on board. Nest order of ships from the pier outboard – Tracy, Preble, Cummings",[62]
Sicard,DM-21,Undamaged,Moored starboard side to Pruitt in berth B-18 Navy Yard undergoing overhaul.,[63]
Pruitt,DM-22,Undamaged,"moored at berth B-18, Navy Yard, undergoing routine overhaul. Sicard and Ontario moored to port in that order.",[64]
Zane,DMS-14,Undamaged,"moored bow and stern in a nest with Mine Division Four at buoys D-7 and D-7s; order from port to starboard: Trever, Wasmuth, Zane, and Perry.",[65]
Wasmuth,DMS-15,Undamaged,"moored bow and stern in a nest with Mine Division Four at buoys D-7 and D-7s; order from port to starboard: Trever, Wasmuth, Zane, and Perry.",[66]
Trever,DMS-16,Undamaged,"moored at buoys D-7 and D-7-S, bow towards Pearl City, in the following order from north, Trever, Wasmuth, Zane, and Perry",[67]
Perry,DMS-17,Undamaged,"moored at buoy D-7, in the following order from north, Trever, Wasmuth, Zane, and Perry",[68]
Sacramento,PG-19,Undamaged,"moored port side to berth B-6, Navy Yard with Mugford and Jarvis moored alongside to starboard.",[69]
