Number,Name,Year Built,Boat Builder,Current Status
46,Hi C,1962,"Enterprise Boat Company, Rock Ferry",Hilbre Association boat requiring extensive work
47,Highland Piper,1961,"William Partington Marine, Pwhelli",WKSC-Regularly sailed
48,Hi Di Hi,1961,"Crossfield Successors, Arnside",Damaged beyond repair and burnt on bonfire night 2011 at WKSC
49,Higgler,1961,"Crossfield Successors, Arnside",Last heard of in Polperro
50,Heulwen,1962,"Wirral Boat Co., Rock Ferry",Porthmadog
51,Hiatus,1962,"Wirral Boat Co., Rock Ferry",WKSC -
52,Hikari,1963,"Crossfield Successors, Arnside","Converted to fishing boat, although understood now to be destroyed and burnt"
53,High Hat,1963,"William Partington Marine, Pwhelli",WKSC-Regularly sailed
54,Hinon,1964,"Crossfield Successors, Arnside","Lying in a garden in Buckley, in a poor condition"
55,Hiriver,1964,"Anglesey Boat Co., Beaumaris","Sunk in the river Mersey, when swamped by the Isle of Man Ferry in 1970"
56,Hipparchus,1966,"Anglesey Boat Co., Beaumaris",Liverpool Maritime Museum
